candidate_id	registry_id	recovery_page_id	recovery_url_id	raw_term_short	evidence_locator	candidate_type	normalized_key	relation_to_existing_m4b1_evidence	status	m6_validation_required	reason
M4B1R2C000021	REG011	M4B1R2P00003	M4B1R2U00004	Реклама Wildberries — управление рекламой и аналитика с AI | ILAI	https://ilai.io/reklama-wildberries ; observed title/heading/visible text	TASK_PHRASE	seller_analytics	Maps to existing M2R/M3 family evidence or remains an M6-checkable wording variant	ALREADY_PRESENT	false	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000022	REG011	M4B1R2P00003	M4B1R2U00004	Реклама Wildberries — управление рекламой и аналитика с AI | ILAI	https://ilai.io/reklama-wildberries ; observed title/heading/visible text	TASK_PHRASE	ad_analytics_or_automation	Maps to existing M2R/M3 family evidence or remains an M6-checkable wording variant	ALREADY_PRESENT	false	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000023	REG011	M4B1R2P00003	M4B1R2U00004	Реклама Wildberries — управление рекламой и аналитика с AI | ILAI	https://ilai.io/reklama-wildberries ; observed title/heading/visible text	TASK_PHRASE	ai_or_digital_helper	Maps to existing M2R/M3 family evidence or remains an M6-checkable wording variant	ALREADY_PRESENT	false	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000024	REG011	M4B1R2P00004	M4B1R2U00006	SEO карточек Wildberries — оптимизация товаров с AI | ILAI	https://ilai.io/seo-wildberries ; observed title/heading/visible text	TASK_PHRASE	product_card_or_content	Maps to existing M2R/M3 family evidence or remains an M6-checkable wording variant	ALREADY_PRESENT	false	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000025	REG011	M4B1R2P00004	M4B1R2U00006	SEO карточек Wildberries — оптимизация товаров с AI | ILAI	https://ilai.io/seo-wildberries ; observed title/heading/visible text	TASK_PHRASE	search_or_niche_analytics	Maps to existing M2R/M3 family evidence or remains an M6-checkable wording variant	ALREADY_PRESENT	false	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000026	REG011	M4B1R2P00004	M4B1R2U00006	SEO карточек Wildberries — оптимизация товаров с AI | ILAI	https://ilai.io/seo-wildberries ; observed title/heading/visible text	TASK_PHRASE	ai_or_digital_helper	Maps to existing M2R/M3 family evidence or remains an M6-checkable wording variant	ALREADY_PRESENT	false	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000027	REG011	M4B1R2P00005	M4B1R2U00007	Лучшие сервисы аналитики Wildberries 2026 — сравнение платформ для продавцов WB | ILAI	https://ilai.io/servisy-analitiki-wildberries ; observed title/heading/visible text	TASK_PHRASE	seller_analytics	Maps to existing M2R/M3 family evidence or remains an M6-checkable wording variant	ALREADY_PRESENT	false	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000028	REG012	M4B1R2P00009	M4B1R2U00015	InfoSell — ИИ-инфографика для маркетплейсов	https://infosell.tech/dashboard/finassistant ; observed title/heading/visible text	TASK_PHRASE	product_card_or_content	Competitor boundary evidence; not current Octoport launch scope	OUT_OF_SCOPE	true	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000029	REG012	M4B1R2P00012	M4B1R2U00018	Аудит карточки Про	https://infosell.tech/dashboard/generate/card-audit ; observed title/heading/visible text	TASK_PHRASE	product_card_or_content	Maps to existing M2R/M3 family evidence or remains an M6-checkable wording variant	ALREADY_PRESENT	false	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000030	REG012	M4B1R2P00013	M4B1R2U00019	Карточка с нуля	https://infosell.tech/dashboard/generate/card-build ; observed title/heading/visible text	TASK_PHRASE	product_card_or_content	Maps to existing M2R/M3 family evidence or remains an M6-checkable wording variant	ALREADY_PRESENT	false	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000031	REG012	M4B1R2P00016	M4B1R2U00022	Разбор отчёта ВБ	https://infosell.tech/dashboard/generate/finassistant ; observed title/heading/visible text	TASK_PHRASE	reporting_finance	Maps to existing M2R/M3 family evidence or remains an M6-checkable wording variant	ALREADY_PRESENT	false	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000032	REG012	M4B1R2P00018	M4B1R2U00024	InfoSell — ИИ-инфографика для маркетплейсов	https://infosell.tech/dashboard/generate/images ; observed title/heading/visible text	TASK_PHRASE	product_card_or_content	Competitor boundary evidence; not current Octoport launch scope	OUT_OF_SCOPE	true	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000033	REG012	M4B1R2P00018	M4B1R2U00024	Генерации Мои генерации Баланс Операции Автоответы AI-ассистент Фин. ассистент Рефералы L7:	https://infosell.tech/dashboard/generate/images ; observed title/heading/visible text	TASK_PHRASE	ai_or_digital_helper	Maps to existing M2R/M3 family evidence or remains an M6-checkable wording variant	ALREADY_PRESENT	false	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000034	REG012	M4B1R2P00019	M4B1R2U00025	L10: Сервис с ИИ-продуктами для маркетплейсов: ИИ-ассистент селлера, финансовый ассистент, автоответчик, инфографика, нейрофотосессии, видео, лого/баннеры	https://infosell.tech/dashboard/generate/infographic ; observed title/heading/visible text	TASK_PHRASE	reporting_finance	Maps to existing M2R/M3 family evidence or remains an M6-checkable wording variant	ALREADY_PRESENT	false	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000035	REG012	M4B1R2P00019	M4B1R2U00025	L10: Сервис с ИИ-продуктами для маркетплейсов: ИИ-ассистент селлера, финансовый ассистент, автоответчик, инфографика, нейрофотосессии, видео, лого/баннеры	https://infosell.tech/dashboard/generate/infographic ; observed title/heading/visible text	TASK_PHRASE	product_card_or_content	Competitor boundary evidence; not current Octoport launch scope	OUT_OF_SCOPE	true	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000036	REG012	M4B1R2P00019	M4B1R2U00025	Генерации Мои генерации Баланс Операции Автоответы AI-ассистент Фин. ассистент Рефералы L7:	https://infosell.tech/dashboard/generate/infographic ; observed title/heading/visible text	TASK_PHRASE	ai_or_digital_helper	Maps to existing M2R/M3 family evidence or remains an M6-checkable wording variant	ALREADY_PRESENT	false	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000037	REG012	M4B1R2P00020	M4B1R2U00026	L10: Сервис с ИИ-продуктами для маркетплейсов: ИИ-ассистент селлера, финансовый ассистент, автоответчик, инфографика, нейрофотосессии, видео, лого/баннеры	https://infosell.tech/dashboard/generate/logo ; observed title/heading/visible text	TASK_PHRASE	reporting_finance	Maps to existing M2R/M3 family evidence or remains an M6-checkable wording variant	ALREADY_PRESENT	false	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000038	REG012	M4B1R2P00020	M4B1R2U00026	L10: Сервис с ИИ-продуктами для маркетплейсов: ИИ-ассистент селлера, финансовый ассистент, автоответчик, инфографика, нейрофотосессии, видео, лого/баннеры	https://infosell.tech/dashboard/generate/logo ; observed title/heading/visible text	TASK_PHRASE	product_card_or_content	Competitor boundary evidence; not current Octoport launch scope	OUT_OF_SCOPE	true	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000039	REG012	M4B1R2P00020	M4B1R2U00026	Генерации Мои генерации Баланс Операции Автоответы AI-ассистент Фин. ассистент Рефералы L7:	https://infosell.tech/dashboard/generate/logo ; observed title/heading/visible text	TASK_PHRASE	ai_or_digital_helper	Maps to existing M2R/M3 family evidence or remains an M6-checkable wording variant	ALREADY_PRESENT	false	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000040	REG012	M4B1R2P00021	M4B1R2U00027	L10: Сервис с ИИ-продуктами для маркетплейсов: ИИ-ассистент селлера, финансовый ассистент, автоответчик, инфографика, нейрофотосессии, видео, лого/баннеры	https://infosell.tech/dashboard/generate/photoshoot ; observed title/heading/visible text	TASK_PHRASE	reporting_finance	Maps to existing M2R/M3 family evidence or remains an M6-checkable wording variant	ALREADY_PRESENT	false	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000041	REG012	M4B1R2P00021	M4B1R2U00027	L10: Сервис с ИИ-продуктами для маркетплейсов: ИИ-ассистент селлера, финансовый ассистент, автоответчик, инфографика, нейрофотосессии, видео, лого/баннеры	https://infosell.tech/dashboard/generate/photoshoot ; observed title/heading/visible text	TASK_PHRASE	product_card_or_content	Competitor boundary evidence; not current Octoport launch scope	OUT_OF_SCOPE	true	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000042	REG012	M4B1R2P00021	M4B1R2U00027	Генерации Мои генерации Баланс Операции Автоответы AI-ассистент Фин. ассистент Рефералы L7:	https://infosell.tech/dashboard/generate/photoshoot ; observed title/heading/visible text	TASK_PHRASE	ai_or_digital_helper	Maps to existing M2R/M3 family evidence or remains an M6-checkable wording variant	ALREADY_PRESENT	false	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000043	REG012	M4B1R2P00022	M4B1R2U00028	InfoSell — ИИ-инфографика для маркетплейсов	https://infosell.tech/dashboard/generate/product-video ; observed title/heading/visible text	TASK_PHRASE	product_card_or_content	Competitor boundary evidence; not current Octoport launch scope	OUT_OF_SCOPE	true	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000044	REG012	M4B1R2P00022	M4B1R2U00028	Генерации Мои генерации Баланс Операции Автоответы AI-ассистент Фин. ассистент Рефералы L7:	https://infosell.tech/dashboard/generate/product-video ; observed title/heading/visible text	TASK_PHRASE	ai_or_digital_helper	Maps to existing M2R/M3 family evidence or remains an M6-checkable wording variant	ALREADY_PRESENT	false	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000045	REG012	M4B1R2P00023	M4B1R2U00029	L10: Сервис с ИИ-продуктами для маркетплейсов: ИИ-ассистент селлера, финансовый ассистент, автоответчик, инфографика, нейрофотосессии, видео, лого/баннеры	https://infosell.tech/dashboard/generate/rich-content ; observed title/heading/visible text	TASK_PHRASE	reporting_finance	Maps to existing M2R/M3 family evidence or remains an M6-checkable wording variant	ALREADY_PRESENT	false	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000046	REG012	M4B1R2P00023	M4B1R2U00029	L10: Сервис с ИИ-продуктами для маркетплейсов: ИИ-ассистент селлера, финансовый ассистент, автоответчик, инфографика, нейрофотосессии, видео, лого/баннеры	https://infosell.tech/dashboard/generate/rich-content ; observed title/heading/visible text	TASK_PHRASE	product_card_or_content	Competitor boundary evidence; not current Octoport launch scope	OUT_OF_SCOPE	true	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000047	REG012	M4B1R2P00023	M4B1R2U00029	Генерации Мои генерации Баланс Операции Автоответы AI-ассистент Фин. ассистент Рефералы L7:	https://infosell.tech/dashboard/generate/rich-content ; observed title/heading/visible text	TASK_PHRASE	ai_or_digital_helper	Maps to existing M2R/M3 family evidence or remains an M6-checkable wording variant	ALREADY_PRESENT	false	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000048	REG012	M4B1R2P00024	M4B1R2U00030	L18: Сервис с ИИ-продуктами для маркетплейсов: ИИ-ассистент селлера, финансовый ассистент, автоответчик, инфографика, нейрофотосессии, видео, лого/баннеры	https://infosell.tech/dashboard/generate/seo-audit ; observed title/heading/visible text	TASK_PHRASE	reporting_finance	Maps to existing M2R/M3 family evidence or remains an M6-checkable wording variant	ALREADY_PRESENT	false	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000049	REG012	M4B1R2P00024	M4B1R2U00030	L18: Сервис с ИИ-продуктами для маркетплейсов: ИИ-ассистент селлера, финансовый ассистент, автоответчик, инфографика, нейрофотосессии, видео, лого/баннеры	https://infosell.tech/dashboard/generate/seo-audit ; observed title/heading/visible text	TASK_PHRASE	product_card_or_content	Competitor boundary evidence; not current Octoport launch scope	OUT_OF_SCOPE	true	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000050	REG012	M4B1R2P00024	M4B1R2U00030	Кабинет	https://infosell.tech/dashboard/generate/seo-audit ; observed title/heading/visible text	TASK_PHRASE	integration_connection	Maps to existing M2R/M3 family evidence or remains an M6-checkable wording variant	ALREADY_PRESENT	false	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000051	REG012	M4B1R2P00024	M4B1R2U00030	L8: Генерации AI-ассистент Автоответы Фин. ассистент L9:	https://infosell.tech/dashboard/generate/seo-audit ; observed title/heading/visible text	TASK_PHRASE	ai_or_digital_helper	Maps to existing M2R/M3 family evidence or remains an M6-checkable wording variant	ALREADY_PRESENT	false	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000052	REG012	M4B1R2P00025	M4B1R2U00031	InfoSell — ИИ-инфографика для маркетплейсов	https://infosell.tech/dashboard/generate/slides ; observed title/heading/visible text	TASK_PHRASE	product_card_or_content	Competitor boundary evidence; not current Octoport launch scope	OUT_OF_SCOPE	true	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000053	REG012	M4B1R2P00025	M4B1R2U00031	Генерации Мои генерации Баланс Операции Автоответы AI-ассистент Фин. ассистент Рефералы L7:	https://infosell.tech/dashboard/generate/slides ; observed title/heading/visible text	TASK_PHRASE	ai_or_digital_helper	Maps to existing M2R/M3 family evidence or remains an M6-checkable wording variant	ALREADY_PRESENT	false	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000054	REG012	M4B1R2P00026	M4B1R2U00032	L10: Сервис с ИИ-продуктами для маркетплейсов: ИИ-ассистент селлера, финансовый ассистент, автоответчик, инфографика, нейрофотосессии, видео, лого/баннеры	https://infosell.tech/dashboard/generate/video ; observed title/heading/visible text	TASK_PHRASE	reporting_finance	Maps to existing M2R/M3 family evidence or remains an M6-checkable wording variant	ALREADY_PRESENT	false	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000055	REG012	M4B1R2P00026	M4B1R2U00032	L10: Сервис с ИИ-продуктами для маркетплейсов: ИИ-ассистент селлера, финансовый ассистент, автоответчик, инфографика, нейрофотосессии, видео, лого/баннеры	https://infosell.tech/dashboard/generate/video ; observed title/heading/visible text	TASK_PHRASE	product_card_or_content	Competitor boundary evidence; not current Octoport launch scope	OUT_OF_SCOPE	true	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000056	REG012	M4B1R2P00026	M4B1R2U00032	Генерации Мои генерации Баланс Операции Автоответы AI-ассистент Фин. ассистент Рефералы L7:	https://infosell.tech/dashboard/generate/video ; observed title/heading/visible text	TASK_PHRASE	ai_or_digital_helper	Maps to existing M2R/M3 family evidence or remains an M6-checkable wording variant	ALREADY_PRESENT	false	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000057	REG012	M4B1R2P00027	M4B1R2U00033	L10: Сервис с ИИ-продуктами для маркетплейсов: ИИ-ассистент селлера, финансовый ассистент, автоответчик, инфографика, нейрофотосессии, видео, лого/баннеры	https://infosell.tech/dashboard/generations ; observed title/heading/visible text	TASK_PHRASE	reporting_finance	Maps to existing M2R/M3 family evidence or remains an M6-checkable wording variant	ALREADY_PRESENT	false	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000058	REG012	M4B1R2P00027	M4B1R2U00033	L10: Сервис с ИИ-продуктами для маркетплейсов: ИИ-ассистент селлера, финансовый ассистент, автоответчик, инфографика, нейрофотосессии, видео, лого/баннеры	https://infosell.tech/dashboard/generations ; observed title/heading/visible text	TASK_PHRASE	product_card_or_content	Competitor boundary evidence; not current Octoport launch scope	OUT_OF_SCOPE	true	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000059	REG012	M4B1R2P00027	M4B1R2U00033	Генерации Мои генерации Баланс Операции Автоответы AI-ассистент Фин. ассистент Рефералы L7:	https://infosell.tech/dashboard/generations ; observed title/heading/visible text	TASK_PHRASE	ai_or_digital_helper	Maps to existing M2R/M3 family evidence or remains an M6-checkable wording variant	ALREADY_PRESENT	false	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000060	REG012	M4B1R2P00028	M4B1R2U00034	InfoSell — ИИ-инфографика для маркетплейсов	https://infosell.tech/dashboard/history ; observed title/heading/visible text	TASK_PHRASE	product_card_or_content	Competitor boundary evidence; not current Octoport launch scope	OUT_OF_SCOPE	true	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000061	REG012	M4B1R2P00028	M4B1R2U00034	Генерации Мои генерации Баланс Операции Автоответы AI-ассистент Фин. ассистент Рефералы L7:	https://infosell.tech/dashboard/history ; observed title/heading/visible text	TASK_PHRASE	ai_or_digital_helper	Maps to existing M2R/M3 family evidence or remains an M6-checkable wording variant	ALREADY_PRESENT	false	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000062	REG012	M4B1R2P00029	M4B1R2U00035	InfoSell — ИИ-инфографика для маркетплейсов	https://infosell.tech/dashboard/referrals ; observed title/heading/visible text	TASK_PHRASE	product_card_or_content	Competitor boundary evidence; not current Octoport launch scope	OUT_OF_SCOPE	true	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000063	REG012	M4B1R2P00029	M4B1R2U00035	Генерации Мои генерации Баланс Операции Автоответы AI-ассистент Фин. ассистент Рефералы L7:	https://infosell.tech/dashboard/referrals ; observed title/heading/visible text	TASK_PHRASE	ai_or_digital_helper	Maps to existing M2R/M3 family evidence or remains an M6-checkable wording variant	ALREADY_PRESENT	false	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000064	REG012	M4B1R2P00030	M4B1R2U00036	L31: ОтветыМагазиныАналитика	https://infosell.tech/dashboard/reply-ai ; observed title/heading/visible text	TASK_PHRASE	seller_analytics	Maps to existing M2R/M3 family evidence or remains an M6-checkable wording variant	ALREADY_PRESENT	false	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000065	REG012	M4B1R2P00030	M4B1R2U00036	InfoSell — ИИ-инфографика для маркетплейсов	https://infosell.tech/dashboard/reply-ai ; observed title/heading/visible text	TASK_PHRASE	product_card_or_content	Competitor boundary evidence; not current Octoport launch scope	OUT_OF_SCOPE	true	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000066	REG012	M4B1R2P00030	M4B1R2U00036	L17: Правила использования автоответчика. Обращаем ваше внимание, что первые 100 ответов бесплатны и не требуют подключение подписки	https://infosell.tech/dashboard/reply-ai ; observed title/heading/visible text	TASK_PHRASE	integration_connection	Maps to existing M2R/M3 family evidence or remains an M6-checkable wording variant	ALREADY_PRESENT	false	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000067	REG012	M4B1R2P00030	M4B1R2U00036	L13: AI-ответы на отзывы и вопросы покупателей	https://infosell.tech/dashboard/reply-ai ; observed title/heading/visible text	TASK_PHRASE	reviews_support	Maps to existing M2R/M3 family evidence or remains an M6-checkable wording variant	ALREADY_PRESENT	false	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
M4B1R2C000068	REG012	M4B1R2P00030	M4B1R2U00036	* Все подключенные магазины на всех площадках тарифицируются одинаково в рамках выбранной подписки.	https://infosell.tech/dashboard/reply-ai ; observed title/heading/visible text	TASK_PHRASE	pricing_repricing	Maps to existing M2R/M3 family evidence or remains an M6-checkable wording variant	ALREADY_PRESENT	false	Observed competitor wording with recovery-page provenance; candidate evidence only and never promoted to demand
