registry_id	entity_name	candidate_class	registrable_domain	scope_policy	policy_rationale	accepted_anchor_count	accepted_anchor_ids	authoritative_anchor_urls	browser_navigation_enumerated	initial_frontier_count	discovered_url_count	scope_completion_state	unresolved_reason
REG013	Insales	RECURRING_PRODUCT_VENDOR	insales.ru	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	Broad, multi-product, agency or general site; only anchor-connected marketplace/seller subtree	2	PAGE015 | PAGE016	https://www.insales.ru/blogs/university/kak-prodavat-na-wildberries | https://www.insales.ru/blogs/university/zapolneniya-kartochek-tovara-na-wildberries	true	2	9	COMPLETE_BOUNDED_FRONTIER	none
REG014	Itgalaxy	RECURRING_PRODUCT_VENDOR	itgalaxy.company	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	Broad, multi-product, agency or general site; only anchor-connected marketplace/seller subtree	1	PAGE017	https://itgalaxy.company/ai-agent-wildberries-ozon/	true	1	4	COMPLETE_BOUNDED_FRONTIER	none
REG015	Jafo	RECURRING_PRODUCT_VENDOR	jafo.ru	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	Broad, multi-product, agency or general site; only anchor-connected marketplace/seller subtree	4	PAGE018 | PAGE019 | PAGE020 | PAGE021	https://jafo.ru/ | https://jafo.ru/blog/ii-agent-dlya-ozon | https://jafo.ru/blog/ii-agent-dlya-wildberries | https://jafo.ru/blog/podklyuchit-claude-chatgpt-k-wildberries-ozon	true	4	1	COMPLETE_BOUNDED_FRONTIER	none
REG016	Jvo	RECURRING_PRODUCT_VENDOR	jvo.ru	THEME_SCOPED_PUBLIC_TAXONOMY	Specialized seller/marketplace product surface; bounded public feature/help/content taxonomy	2	PAGE022 | PAGE023	https://jvo.ru/ | https://jvo.ru/agent	false	2	0	RECOVERY_REQUIRED	same-entity navigation could not be enumerated in browser
REG018	Kt Team	RELEVANT_ONE_OFF_PRODUCT_VENDOR	kt-team.ru	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	Broad, multi-product, agency or general site; only anchor-connected marketplace/seller subtree	1	PAGE026	https://www.kt-team.ru/product-pages/ai-agents-marketplaces	false	1	0	RECOVERY_REQUIRED	same-entity navigation could not be enumerated in browser
REG019	Legasoft	RECURRING_PRODUCT_VENDOR	legasoft.ru	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	Broad, multi-product, agency or general site; only anchor-connected marketplace/seller subtree	2	PAGE027 | PAGE028	https://legasoft.ru/about/blog/marketpleysy/avtomatizatsiya-planirovaniya-postavok-s-pomoshchyu-iskusstvennogo-intellekta/ | https://legasoft.ru/about/blog/marketpleysy/kak-vybrat-nishu-v-wildberries-i-ne-oshibitsya-sovety-dlya-uspeshnogo-starta/	false	2	0	RECOVERY_REQUIRED	same-entity navigation could not be enumerated in browser
REG020	Limescope	RECURRING_PRODUCT_VENDOR	limescope.ru	THEME_SCOPED_PUBLIC_TAXONOMY	Specialized seller/marketplace product surface; bounded public feature/help/content taxonomy	1	PAGE029	https://limescope.ru/	false	1	0	RECOVERY_REQUIRED	same-entity navigation could not be enumerated in browser
REG021	Marketaut	RECURRING_PRODUCT_VENDOR	marketaut.ru	THEME_SCOPED_PUBLIC_TAXONOMY	Specialized seller/marketplace product surface; bounded public feature/help/content taxonomy	1	PAGE030	https://marketaut.ru/	false	1	0	RECOVERY_REQUIRED	same-entity navigation could not be enumerated in browser
REG022	Marpla	RECURRING_PRODUCT_VENDOR	marpla.ru	THEME_SCOPED_PUBLIC_TAXONOMY	Specialized seller/marketplace product surface; bounded public feature/help/content taxonomy	4	PAGE031 | PAGE032 | PAGE033 | PAGE034	https://marpla.ru/ | https://marpla.ru/blog/kak-iskat-klyuchevyye-slova-dlya-wildberries/ | https://marpla.ru/blog/kak-sozdat-i-oformit-kartochku-tovara-na-wildberries/ | https://marpla.ru/blog/trebovaniya-k-kartochkam-tovara-wildberries-pravila-zapolneniya/	false	4	0	RECOVERY_REQUIRED	same-entity navigation could not be enumerated in browser; 1 unresolved URL(s)
REG023	Mayak	RECURRING_PRODUCT_VENDOR	mayak.bz	THEME_SCOPED_PUBLIC_TAXONOMY	Specialized seller/marketplace product surface; bounded public feature/help/content taxonomy	1	PAGE035	https://mayak.bz/	true	1	33	RECOVERY_REQUIRED	7 unresolved URL(s)
REG024	Moysklad	RECURRING_PRODUCT_VENDOR	moysklad.ru	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	Broad, multi-product, agency or general site; only anchor-connected marketplace/seller subtree	4	PAGE036 | PAGE037 | PAGE038 | PAGE039	https://www.moysklad.ru/poleznoe/marketplejsy/analitika-marketpleysov/ | https://www.moysklad.ru/poleznoe/marketplejsy/kak-nachat-prodavat-na-wildberries/ | https://www.moysklad.ru/poleznoe/marketplejsy/kartochka-tovara-na-wildberries/ | https://www.moysklad.ru/poleznoe/marketplejsy/samye-prodavaemye-tovary-na-wildberries/	false	4	0	RECOVERY_REQUIRED	same-entity navigation could not be enumerated in browser; 1 unresolved URL(s)
REG025	Mpboost	RECURRING_PRODUCT_VENDOR	mpboost.pro	THEME_SCOPED_PUBLIC_TAXONOMY	Specialized seller/marketplace product surface; bounded public feature/help/content taxonomy	1	PAGE040	https://mpboost.pro/analytics/	false	1	0	RECOVERY_REQUIRED	same-entity navigation could not be enumerated in browser
REG026	Mpfact	RECURRING_PRODUCT_VENDOR	mpfact.ru	THEME_SCOPED_PUBLIC_TAXONOMY	Specialized seller/marketplace product surface; bounded public feature/help/content taxonomy	1	PAGE041	https://mpfact.ru/	false	1	0	RECOVERY_REQUIRED	same-entity navigation could not be enumerated in browser
REG027	Mpmgr	RECURRING_PRODUCT_VENDOR	mpmgr.ru	THEME_SCOPED_PUBLIC_TAXONOMY	Specialized seller/marketplace product surface; bounded public feature/help/content taxonomy	5	PAGE042 | PAGE043 | PAGE044 | PAGE045 | PAGE046	http://mpmgr.ru/ | https://mpmgr.ru/blog/cards-seo/chastotnost-zaprosov-wildberries | https://mpmgr.ru/blog/cards-seo/klyuchevye-slova-wildberries | https://mpmgr.ru/blog/external-analytics/analiz-nishi-wildberries | https://mpmgr.ru/blog/trends/mcp-ii-agenty-dlya-sellerov	false	5	0	RECOVERY_REQUIRED	same-entity navigation could not be enumerated in browser
REG028	Mpstats	RECURRING_PRODUCT_VENDOR	mpstats.io	THEME_SCOPED_PUBLIC_TAXONOMY	Specialized seller/marketplace product surface; bounded public feature/help/content taxonomy	11	PAGE047 | PAGE048 | PAGE049 | PAGE050 | PAGE051 | PAGE052 | PAGE053 | PAGE054 | PAGE055 | PAGE056 | PAGE057	https://mpstats.io/ | https://mpstats.io/chrome-plugin | https://mpstats.io/instruments/ads-analytics | https://mpstats.io/instruments/analytics | https://mpstats.io/instruments/connect-ai | https://mpstats.io/instruments/wildberries/analytics | https://mpstats.io/media/marketing/chatgpt-marketplejsy | https://mpstats.io/media/marketing/fotografii-dlya-kartochki-tovara-chatgpt | https://mpstats.io/media/wildberries/cards/klyuchevyye-slova | https://mpstats.io/media/wildberries/sellers/chto-prodavat-novichku | https://mpstats.io/media/wildberries/sellers/obzor-lichnogo-kabineta	false	11	0	RECOVERY_REQUIRED	same-entity navigation could not be enumerated in browser; 1 unresolved URL(s)
REG029	Openclaw	RELEVANT_ONE_OFF_PRODUCT_VENDOR	openclaw.ru	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	Broad, multi-product, agency or general site; only anchor-connected marketplace/seller subtree	2	PAGE058 | PAGE059	https://openclaw.ru/for/marketplejsy | https://openclaw.ru/for/marketplejsy/obyavleniya	true	2	6	COMPLETE_BOUNDED_FRONTIER	none
REG031	Promopult	RECURRING_PRODUCT_VENDOR	promopult.ru	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	Broad, multi-product, agency or general site; only anchor-connected marketplace/seller subtree	2	PAGE062 | PAGE063	https://blog.promopult.ru/ecommerce/kak-sozdat-i-oformit-kartochku-tovara-na-wildberries.html | https://blog.promopult.ru/ecommerce/lichnyj-kabinet-postavshhika-na-wildberries.html	false	2	0	RECOVERY_REQUIRED	same-entity navigation could not be enumerated in browser
REG034	Saintpack	SERVICE_OR_AGENCY	saintpack.ru	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	Broad, multi-product, agency or general site; only anchor-connected marketplace/seller subtree	1	PAGE064	https://saintpack.ru/	false	1	0	RECOVERY_REQUIRED	same-entity navigation could not be enumerated in browser
REG035	Sam X	RELEVANT_ONE_OFF_PRODUCT_VENDOR	sam-x.ru	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	Broad, multi-product, agency or general site; only anchor-connected marketplace/seller subtree	1	PAGE065	https://sam-x.ru/	true	1	1	RECOVERY_REQUIRED	1 unresolved URL(s)
REG037	Sellerden	RECURRING_PRODUCT_VENDOR	sellerden.ru	THEME_SCOPED_PUBLIC_TAXONOMY	Specialized seller/marketplace product surface; bounded public feature/help/content taxonomy	2	PAGE067 | PAGE068	https://sellerden.ru/sellerden/vybor-nishi-na-marketplejsah/analytic-reports/ | https://sellerden.ru/sellerfox/	true	2	49	RECOVERY_REQUIRED	13 unresolved URL(s)
REG038	Sellermoon	RECURRING_PRODUCT_VENDOR	sellermoon.ru	THEME_SCOPED_PUBLIC_TAXONOMY	Specialized seller/marketplace product surface; bounded public feature/help/content taxonomy	9	PAGE069 | PAGE070 | PAGE071 | PAGE072 | PAGE073 | PAGE074 | PAGE075 | PAGE076 | PAGE077	https://sellermoon.ru/faq/wildberries/analiz-nishi-na-wildberries | https://sellermoon.ru/faq/wildberries/chto-prodavat-na-wb-v-2024-2025-godu | https://sellermoon.ru/faq/wildberries/kak-sozdat-kartochku-tovara-na-wb | https://sellermoon.ru/faq/wildberries/kuda-vpisyvat-klyuchevye-slova-na-wildberries | https://sellermoon.ru/faq/wildberries/nejroset-chatgpt-i-marketplejsy | https://sellermoon.ru/faq/wildberries/obzor-lichnogo-kabineta-wildberries | https://sellermoon.ru/faq/wildberries/podbor-klyuchevyh-slov-dlya-wildberries | https://sellermoon.ru/faq/wildberries/populyarnye-zaprosy-wb | https://sellermoon.ru/faq/wildberries/seo-optimizaciya-kartochek-tovara-na-wildberries	false	9	0	RECOVERY_REQUIRED	same-entity navigation could not be enumerated in browser; 4 unresolved URL(s)
REG039	Sellerstats	RELEVANT_ONE_OFF_PRODUCT_VENDOR	sellerstats.ru	THEME_SCOPED_PUBLIC_TAXONOMY	Specialized seller/marketplace product surface; bounded public feature/help/content taxonomy	1	PAGE078	https://sellerstats.ru/	false	1	0	RECOVERY_REQUIRED	same-entity navigation could not be enumerated in browser
REG040	Sellmonitor	RECURRING_PRODUCT_VENDOR	sellmonitor.com	THEME_SCOPED_PUBLIC_TAXONOMY	Specialized seller/marketplace product surface; bounded public feature/help/content taxonomy	2	PAGE079 | PAGE080	https://sellmonitor.com/ | https://sellmonitor.com/blog/seo-kak-sobrat-klyuchevye-slova-i-nastroit-seo-dlya-wildberries/	false	2	0	RECOVERY_REQUIRED	same-entity navigation could not be enumerated in browser
REG041	Sellper	RECURRING_PRODUCT_VENDOR	sellper.ru	THEME_SCOPED_PUBLIC_TAXONOMY	Specialized seller/marketplace product surface; bounded public feature/help/content taxonomy	1	PAGE081	https://sellper.ru/	false	1	0	RECOVERY_REQUIRED	same-entity navigation could not be enumerated in browser
REG042	Selsup	RECURRING_PRODUCT_VENDOR	selsup.ru	THEME_SCOPED_PUBLIC_TAXONOMY	Specialized seller/marketplace product surface; bounded public feature/help/content taxonomy	5	PAGE082 | PAGE083 | PAGE084 | PAGE085 | PAGE086	https://selsup.ru/blog/ii-ofis-dlya-sellerov-i-marketplejsov/ | https://selsup.ru/blog/kak-pravilno-sozdat-kartochku-tovara-na-wildberries-v-2024-godu-poshagovaya-instruktsiya/ | https://selsup.ru/blog/kak-stat-prodavtsom-na-wildberries-poshagovaya-instruktsiya-po-registratsii-v-lichnom-kabinete/ | https://selsup.ru/blog/otchyot-o-pribylyah-i-ubytkah-iz-selsup-chto-pokazyvaet-i-zachem-nuzhen-selleram-marketplejsov/ | https://selsup.ru/blog/top-9-nejrosetej-dlya-marketplejsov-i-sellerov-polnyj-obzor/	false	5	0	RECOVERY_REQUIRED	same-entity navigation could not be enumerated in browser
REG044	Softrest	RECURRING_PRODUCT_VENDOR	softrest.ru	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	Broad, multi-product, agency or general site; only anchor-connected marketplace/seller subtree	1	PAGE091	https://softrest.ru/blog/ii-agent-marketpleysov-tseny-ostatki	true	1	18	COMPLETE_BOUNDED_FRONTIER	none
REG045	Superintellect	RECURRING_PRODUCT_VENDOR	superintellect.ru	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	Broad, multi-product, agency or general site; only anchor-connected marketplace/seller subtree	5	PAGE092 | PAGE093 | PAGE094 | PAGE095 | PAGE096	https://superintellect.ru/guides/ii-agent-dlya-prodavca-marketplejsov | https://superintellect.ru/guides/ozon-dlya-proizvoditeley | https://superintellect.ru/guides/ozon-ii-agent-dlya-prodavca | https://superintellect.ru/guides/wildberries-ii-agent-dlya-prodavca | https://superintellect.ru/partners/wildberries	true	5	10	RECOVERY_REQUIRED	4 unresolved URL(s)
REG046	Tablichki	RECURRING_PRODUCT_VENDOR	tablichki.tech	THEME_SCOPED_PUBLIC_TAXONOMY	Specialized seller/marketplace product surface; bounded public feature/help/content taxonomy	4	PAGE097 | PAGE098 | PAGE099 | PAGE100	https://tablichki.tech/adv_analytics | https://tablichki.tech/ai | https://tablichki.tech/ocifrovka_marketplace_blog/tpost/ai_marketplaces | https://tablichki.tech/pnl	true	4	11	RECOVERY_REQUIRED	4 unresolved URL(s)
REG049	Torgstat	RECURRING_PRODUCT_VENDOR	torgstat.ru	THEME_SCOPED_PUBLIC_TAXONOMY	Specialized seller/marketplace product surface; bounded public feature/help/content taxonomy	1	PAGE112	https://torgstat.ru/	true	1	2	COMPLETE_BOUNDED_FRONTIER	none
REG050	Tulpari	RELEVANT_ONE_OFF_PRODUCT_VENDOR	tulpari.ru	THEME_SCOPED_PUBLIC_TAXONOMY	Specialized seller/marketplace product surface; bounded public feature/help/content taxonomy	1	PAGE113	https://tulpari.ru/	true	1	0	COMPLETE_BOUNDED_FRONTIER	none
REG051	Uniseller	RECURRING_PRODUCT_VENDOR	uniseller.io	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	Broad, multi-product, agency or general site; only anchor-connected marketplace/seller subtree	2	PAGE114 | PAGE115	https://uniseller.io/blog/5-ii-agentov-dlya-sellerov-avtomatizatsiya-rutiny/ | https://uniseller.io/blog/kak-chitat-otchet-o-realizacii-ozon/	false	2	0	RECOVERY_REQUIRED	same-entity navigation could not be enumerated in browser
REG053	Wbcon	RECURRING_PRODUCT_VENDOR	wbcon.ru	THEME_SCOPED_PUBLIC_TAXONOMY	Specialized seller/marketplace product surface; bounded public feature/help/content taxonomy	3	PAGE123 | PAGE124 | PAGE125	https://seo.wbcon.ru/gpt-opisanie/ | https://wbcon.ru/2020/07/26/urok-x-analiz-wildberries/ | https://wbcon.ru/2023/03/27/chatgpt-instruction-wb-ozon/	true	3	10	RECOVERY_REQUIRED	1 unresolved URL(s)
REG056	Wildcrm	RECURRING_PRODUCT_VENDOR	wildcrm.ru	THEME_SCOPED_PUBLIC_TAXONOMY	Specialized seller/marketplace product surface; bounded public feature/help/content taxonomy	2	PAGE135 | PAGE136	https://wildcrm.ru/blog/beginers/tpost/gk5c1skeg1-kak-vibrat-nishu-dlya-prodazh-na-wildber | https://wildcrm.ru/blog/strategy/tpost/knpls4o4g1-poiskovie-zaprosi-wildberries-analitika	false	2	0	RECOVERY_REQUIRED	same-entity navigation could not be enumerated in browser
REG058	Yoolip	RECURRING_PRODUCT_VENDOR	yoolip.ai	THEME_SCOPED_PUBLIC_TAXONOMY	Specialized seller/marketplace product surface; bounded public feature/help/content taxonomy	1	PAGE140	https://yoolip.ai/	false	1	0	RECOVERY_REQUIRED	same-entity navigation could not be enumerated in browser
REG060	Zinaida	RELEVANT_ONE_OFF_PRODUCT_VENDOR	zinaida.pro	THEME_SCOPED_PUBLIC_TAXONOMY	Specialized seller/marketplace product surface; bounded public feature/help/content taxonomy	1	PAGE143	https://zinaida.pro/	true	1	3	COMPLETE_BOUNDED_FRONTIER	none
