raw_phrase,normalized_phrase_conservative,source_stage,source_query_id,source_file,evidence_type,observed_count,seed_total_count,region,device,marketplace_scope,task_family_primary,task_family_secondary,intent_class,fit_class,contamination_flags,capability_state,observed_vs_inferred,lineage_notes,reconciliation_reason
создать карточку для маркетплейса ии бесплатно,создать карточку для маркетплейса ии бесплатно,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,61,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F5,,product_card_work,BOUNDARY,PURE_CARD_GENERATOR,CONFIRMED_ADDRESSABLE,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
ии для создания инфографики для маркетплейсов,ии для создания инфографики для маркетплейсов,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,55,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F10,F1,broad_ai_marketplace,BOUNDARY,AI_CREATIVE_GENERATION,UNKNOWN,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
ии генератор карточек для маркетплейсов бесплатно,ии генератор карточек для маркетплейсов бесплатно,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,55,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F5,,product_card_work,BOUNDARY,PURE_CARD_GENERATOR,CONFIRMED_ADDRESSABLE,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
карточки товара для маркетплейсов создать ии,карточки товара для маркетплейсов создать ии,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,55,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F5,,product_card_work,ADJACENT,,CONFIRMED_ADDRESSABLE,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
ии для генерации карточек для маркетплейсов,ии для генерации карточек для маркетплейсов,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,52,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F5,,product_card_work,ADJACENT,,CONFIRMED_ADDRESSABLE,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
ии редактор фото для маркетплейсов,ии редактор фото для маркетплейсов,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,48,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F10,F1,broad_ai_marketplace,BOUNDARY,AI_CREATIVE_GENERATION,UNKNOWN,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
ии фотосессия для маркетплейсов,ии фотосессия для маркетплейсов,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,41,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F10,F1,broad_ai_marketplace,BOUNDARY,AI_CREATIVE_GENERATION,UNKNOWN,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
промты ии для маркетплейса,промты ии для маркетплейса,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,41,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F10,F1,broad_ai_marketplace,BOUNDARY,,UNKNOWN,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
ии для работы с маркетплейсами,ии для работы с маркетплейсами,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,39,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F4,,daily_seller_help,CORE_FIT,,CONFIRMED_ADDRESSABLE,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
карточки товаров для маркетплейсов ии бесплатно,карточки товаров для маркетплейсов ии бесплатно,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,37,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F5,,product_card_work,ADJACENT,,CONFIRMED_ADDRESSABLE,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
ии для создания фото для маркетплейсов,ии для создания фото для маркетплейсов,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,36,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F10,F1,broad_ai_marketplace,BOUNDARY,AI_CREATIVE_GENERATION,UNKNOWN,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
обучение ии для маркетплейсов,обучение ии для маркетплейсов,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,34,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F10,F1,broad_ai_marketplace,NOISE,HUMAN_PROFESSION_OR_TRAINING,NOT_APPLICABLE,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
видео для маркетплейсов ии,видео для маркетплейсов ии,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,34,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F10,F1,broad_ai_marketplace,BOUNDARY,AI_CREATIVE_GENERATION,UNKNOWN,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
фотографии ии для маркетплейсов,фотографии ии для маркетплейсов,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,32,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F10,F1,broad_ai_marketplace,BOUNDARY,AI_CREATIVE_GENERATION,UNKNOWN,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
курс ии для маркетплейсов,курс ии для маркетплейсов,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,29,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F10,F1,broad_ai_marketplace,NOISE,HUMAN_PROFESSION_OR_TRAINING,NOT_APPLICABLE,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
ии редактор фото для маркетплейсов бесплатно,ии редактор фото для маркетплейсов бесплатно,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,27,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F10,F1,broad_ai_marketplace,BOUNDARY,AI_CREATIVE_GENERATION,UNKNOWN,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
сделать карточки товаров для маркетплейсов ии,сделать карточки товаров для маркетплейсов ии,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,26,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F5,,product_card_work,BOUNDARY,PURE_CARD_GENERATOR,CONFIRMED_ADDRESSABLE,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
ии описание для маркетплейса,ии описание для маркетплейса,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,23,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F5,,product_card_work,ADJACENT,,CONFIRMED_ADDRESSABLE,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
ии для продаж на маркетплейсах,ии для продаж на маркетплейсах,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,23,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F3,,seller_analytics_reports,CORE_FIT,,CONFIRMED_ADDRESSABLE,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
услуга ии дизайн для маркетплейсов,услуга ии дизайн для маркетплейсов,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,22,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F10,F1,broad_ai_marketplace,BOUNDARY,AI_CREATIVE_GENERATION,UNKNOWN,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
инфографика для маркетплейсов с помощью ии,инфографика для маркетплейсов с помощью ии,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,21,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F10,F1,broad_ai_marketplace,BOUNDARY,AI_CREATIVE_GENERATION,UNKNOWN,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
ии для создания картинок для маркетплейса бесплатно,ии для создания картинок для маркетплейса бесплатно,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,19,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F10,F1,broad_ai_marketplace,BOUNDARY,AI_CREATIVE_GENERATION,UNKNOWN,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
ии генерация фото для маркетплейсов,ии генерация фото для маркетплейсов,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,19,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F10,F1,broad_ai_marketplace,BOUNDARY,AI_CREATIVE_GENERATION,UNKNOWN,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
ии для генерации изображений для маркетплейсов,ии для генерации изображений для маркетплейсов,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,19,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F10,F1,broad_ai_marketplace,BOUNDARY,AI_CREATIVE_GENERATION,UNKNOWN,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
ии текст для маркетплейса,ии текст для маркетплейса,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,18,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F10,F1,broad_ai_marketplace,BOUNDARY,,UNKNOWN,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
фото для маркетплейсов с помощью ии,фото для маркетплейсов с помощью ии,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,18,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F10,F1,broad_ai_marketplace,BOUNDARY,AI_CREATIVE_GENERATION,UNKNOWN,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
модель для маркетплейсов ии,модель для маркетплейсов ии,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,18,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F10,F1,broad_ai_marketplace,BOUNDARY,,UNKNOWN,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
создание карточек для маркетплейсов через ии,создание карточек для маркетплейсов через ии,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,17,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F5,,product_card_work,BOUNDARY,PURE_CARD_GENERATOR,CONFIRMED_ADDRESSABLE,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
ии для создания инфографики для маркетплейсов бесплатно,ии для создания инфографики для маркетплейсов бесплатно,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,16,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F10,F1,broad_ai_marketplace,BOUNDARY,AI_CREATIVE_GENERATION,UNKNOWN,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
ии редактор изображений создание фотосессий для маркетплейсов,ии редактор изображений создание фотосессий для маркетплейсов,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,16,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F10,F1,broad_ai_marketplace,BOUNDARY,AI_CREATIVE_GENERATION,UNKNOWN,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
создание карточек для маркетплейсов с помощью ии,создание карточек для маркетплейсов с помощью ии,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,16,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F5,,product_card_work,BOUNDARY,PURE_CARD_GENERATOR,CONFIRMED_ADDRESSABLE,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
ии для аналитики маркетплейсов,ии для аналитики маркетплейсов,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,15,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F3,,seller_analytics_reports,CORE_FIT,,CONFIRMED_ADDRESSABLE,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
ии для обработки фото для маркетплейсов,ии для обработки фото для маркетплейсов,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,15,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F10,F1,broad_ai_marketplace,BOUNDARY,AI_CREATIVE_GENERATION,UNKNOWN,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
редактор карточек для маркетплейсов ии,редактор карточек для маркетплейсов ии,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,14,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F5,,product_card_work,ADJACENT,,NOT_CURRENT_LAUNCH_SCOPE,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
ии ассистент для маркетплейсов,ии ассистент для маркетплейсов,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,13,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F1,,ai_agent_category,CORE_FIT,,CONFIRMED_ADDRESSABLE,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
сделать карточку для маркетплейса бесплатно с ии,сделать карточку для маркетплейса бесплатно с ии,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,13,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F5,,product_card_work,BOUNDARY,PURE_CARD_GENERATOR,CONFIRMED_ADDRESSABLE,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
ии дизайн карточек для маркетплейсов,ии дизайн карточек для маркетплейсов,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,11,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F5,,product_card_work,BOUNDARY,AI_CREATIVE_GENERATION,CONFIRMED_ADDRESSABLE,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
ии бесплатное приложение для маркетплейсов,ии бесплатное приложение для маркетплейсов,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,11,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F10,F1,broad_ai_marketplace,BOUNDARY,,UNKNOWN,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
ии карточки для маркетплейсов работа,ии карточки для маркетплейсов работа,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,11,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F5,,product_card_work,ADJACENT,,CONFIRMED_ADDRESSABLE,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
ии для работы с маркетплейсами обучение,ии для работы с маркетплейсами обучение,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,10,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F4,,daily_seller_help,NOISE,HUMAN_PROFESSION_OR_TRAINING,NOT_APPLICABLE,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
нейросети ии для создания карточек для маркетплейсов,нейросети ии для создания карточек для маркетплейсов,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,10,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F5,,product_card_work,ADJACENT,,CONFIRMED_ADDRESSABLE,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
ии делает инфографику для маркетплейсов,ии делает инфографику для маркетплейсов,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,8,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F10,F1,broad_ai_marketplace,BOUNDARY,AI_CREATIVE_GENERATION,UNKNOWN,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
ии для поиска товаров на маркетплейсах,ии для поиска товаров на маркетплейсах,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,7,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F10,F1,broad_ai_marketplace,BOUNDARY,,UNKNOWN,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
ии генератор изображений для маркетплейсов,ии генератор изображений для маркетплейсов,B01,B01-01,docs/seo/wordstat/raw/B01_01_2026-09-16.md,DIRECT_RESULT,7,3381,225,DEVICE_ALL,GENERIC_MARKETPLACE,F10,F1,broad_ai_marketplace,BOUNDARY,AI_CREATIVE_GENERATION,UNKNOWN,OBSERVED_WORDSTAT,Historical B01 durable transcription,Preserved direct_result with independent conservative classification.
